district,medianVoterIdeologyStr,actualVoterSatisfactionStr,primaryIdeologyStr,primaryPartyStr,primarySatisfactionStr,irPrimaryIdeologyStr,irPrimaryPartyStr,irPrimarySatisfactionStr,h2hPrimaryIdeologyStr,h2hPrimaryPartyStr,h2hPrimarySatisfactionStr,instantRunoffIdeologyStr,instantRunoffPartyStr,instantRunoffSatisfactionStr,headToHeadIdeologyStr,headToHeadPartyStr,headToHeadSatisfactionStr,final5IdeologyStr,final5PartyStr,final5SatisfactionStr
CA-14,-26.442,74.800,-51.58,Dem,48.40,-47.48,Dem,56.28,-69.65,Dem,22.11,-30.65,Dem,91.06,-26.23,Dem,99.50,-19.07,Dem,84.82
CA-15,-20.574,67.000,-47.84,Dem,46.80,-55.38,Dem,34.97,-48.46,Dem,45.83,-25.56,Dem,89.85,-20.53,Dem,99.90,-20.44,Dem,99.70
CA-16,-10.117,82.800,-25.62,Dem,70.80,-52.12,Dem,28.71,-55.03,Dem,25.30,-10.01,Dem,99.60,-10.27,Dem,100.00,11.08,Rep,62.05
CA-17,-24.285,34.000,-50.94,Dem,46.60,-24.26,Dem,99.80,-54.96,Dem,39.96,-24.46,Dem,99.80,-24.11,Dem,99.60,-24.18,Dem,99.80
CA-18,-22.720,68.200,-65.08,Dem,24.00,-42.47,Dem,59.90,-54.91,Dem,38.19,-37.84,Dem,69.35,-35.60,Dem,73.77,-52.32,Dem,42.21
CA-19,-23.514,65.400,-47.63,Dem,51.40,-47.49,Dem,51.81,-74.44,Dem,15.26,-28.26,Dem,90.36,-24.56,Dem,97.79,-37.71,Dem,70.68
CA-20,-22.547,83.400,-45.81,Dem,53.20,-73.69,Dem,15.26,-48.25,Dem,49.20,-37.75,Dem,68.88,-36.82,Dem,70.88,-22.53,Dem,99.80
CA-21,-6.633,53.000,-41.56,Dem,39.00,-44.89,Dem,34.54,-41.60,Dem,39.16,-6.69,Dem,99.80,-26.51,Dem,63.65,-35.86,Dem,47.99
CA-22,6.170,34.800,35.51,Rep,48.40,51.43,Rep,25.73,35.25,Rep,48.24,40.28,Rep,40.60,16.18,Rep,81.21,-6.88,Dem,76.38
CA-23,11.947,39.600,54.13,Rep,28.40,38.92,Rep,50.00,41.39,Rep,45.78,50.75,Rep,31.93,12.08,Rep,99.60,12.00,Rep,99.80
CA-24,-7.878,59.000,-47.74,Dem,31.80,-67.80,Dem,11.86,22.30,Rep,48.24,-7.84,Dem,99.90,-7.81,Dem,99.90,-16.96,Dem,83.02
CA-25,-1.219,48.400,30.90,Rep,45.40,-21.19,Dem,64.06,-32.60,Dem,45.58,10.72,Rep,78.31,-0.97,Dem,99.40,-14.80,Dem,75.10
CA-26,-8.107,61.800,-56.96,Dem,21.00,-52.99,Dem,25.73,-42.89,Dem,38.79,2.49,Rep,80.80,-12.81,Dem,91.06,13.00,Rep,62.51
CA-27,-16.330,39.800,-42.02,Dem,50.60,-54.81,Dem,31.16,-56.49,Dem,28.94,-24.96,Dem,83.02,-21.29,Dem,90.25,-16.38,Dem,99.90
CA-28,-22.892,75.000,-22.86,Dem,99.80,-34.41,Dem,76.31,-45.32,Dem,54.82,-22.71,Dem,99.60,-22.91,Dem,100.00,-19.93,Dem,93.98
CA-29,-28.231,78.000,-53.45,Dem,47.80,-73.53,Dem,19.28,-53.40,Dem,47.99,-28.21,Dem,99.80,-28.16,Dem,99.60,-29.90,Dem,96.59
CA-30,-19.014,69.400,-45.71,Dem,48.20,-27.83,Dem,82.41,-41.33,Dem,56.28,-21.18,Dem,95.68,-19.05,Dem,99.70,-45.63,Dem,48.44
CA-31,-9.573,63.400,24.76,Rep,43.40,21.80,Rep,46.63,-46.94,Dem,34.77,-23.90,Dem,73.17,-9.49,Dem,99.90,-19.50,Dem,81.21
CA-32,-17.785,48.000,-54.04,Dem,33.80,-56.41,Dem,30.55,-48.28,Dem,42.61,-47.06,Dem,44.42,-10.40,Dem,85.63,-17.78,Dem,99.90
CA-33,-16.320,59.400,-44.87,Dem,45.80,-42.16,Dem,50.65,-41.78,Dem,51.26,-16.09,Dem,99.50,-16.43,Dem,99.70,-23.94,Dem,84.82
CA-34,-33.496,44.800,-57.18,Dem,48.80,-46.95,Dem,69.88,-65.03,Dem,35.54,-32.30,Dem,97.19,-23.95,Dem,78.92,-30.67,Dem,93.57
CA-35,-19.045,66.400,-55.60,Dem,33.00,-45.62,Dem,48.80,-57.84,Dem,29.72,-18.89,Dem,99.40,-20.40,Dem,97.59,-19.00,Dem,99.60
CA-36,-2.927,61.600,36.49,Rep,35.60,32.23,Rep,40.76,-41.82,Dem,34.74,-32.09,Dem,48.80,-3.10,Dem,100.00,8.32,Rep,79.12
CA-37,-34.791,48.200,-62.25,Dem,41.60,-68.33,Dem,31.96,-47.73,Dem,70.75,-34.06,Dem,98.29,-34.77,Dem,99.90,-34.96,Dem,99.70
CA-38,-17.679,38.400,-43.70,Dem,49.80,-31.57,Dem,72.69,-34.46,Dem,67.07,-17.80,Dem,99.80,-17.71,Dem,100.00,-17.58,Dem,99.60
CA-39,-1.210,39.600,18.30,Rep,65.80,45.22,Rep,26.13,-36.87,Dem,39.40,-35.25,Dem,41.61,5.76,Rep,87.44,-14.01,Dem,76.78
CA-40,-31.935,66.400,-47.48,Dem,65.40,-53.73,Dem,53.27,-49.99,Dem,60.50,-31.96,Dem,99.90,-31.88,Dem,99.90,-31.97,Dem,99.90
CA-41,-13.439,39.800,-25.72,Dem,76.00,-27.71,Dem,72.36,-55.63,Dem,27.34,2.40,Rep,71.16,-13.28,Dem,99.90,6.18,Rep,64.92
CA-42,6.888,50.200,39.24,Rep,43.60,20.03,Rep,75.50,47.35,Rep,31.53,-19.03,Dem,55.02,6.96,Rep,99.80,-18.17,Dem,56.43
CA-43,-28.748,29.400,-53.59,Dem,48.20,-75.55,Dem,17.49,-49.25,Dem,56.48,-28.87,Dem,99.70,-32.37,Dem,92.06,-28.71,Dem,99.90
CA-44,-33.347,61.000,-60.84,Dem,42.20,-66.79,Dem,32.73,-49.16,Dem,64.86,-33.46,Dem,100.00,-33.97,Dem,98.80,-33.43,Dem,100.00
CA-45,1.568,65.800,32.21,Rep,47.20,-41.33,Dem,30.32,47.20,Rep,26.51,11.05,Rep,82.73,1.49,Rep,99.60,13.09,Rep,79.12
CA-46,-15.771,76.000,-45.90,Dem,43.60,-32.79,Dem,67.14,-35.04,Dem,62.91,-15.86,Dem,99.90,-20.39,Dem,91.26,-42.83,Dem,49.05
CA-47,-13.488,42.200,-57.66,Dem,24.80,-43.89,Dem,44.18,-57.13,Dem,25.50,-13.38,Dem,99.60,-13.61,Dem,100.00,-43.96,Dem,43.98
CA-48,2.636,40.600,50.17,Rep,24.80,23.66,Rep,61.85,-41.89,Dem,28.71,17.05,Rep,73.69,10.12,Rep,86.14,29.35,Rep,52.41
CA-49,-0.241,35.600,36.31,Rep,39.20,-39.95,Dem,33.77,36.73,Rep,37.79,-13.43,Dem,75.98,-0.22,Dem,99.90,16.56,Rep,69.55
CA-50,9.583,26.800,50.79,Rep,30.60,-8.58,Dem,67.54,34.65,Rep,53.87,17.64,Rep,84.82,9.58,Rep,99.90,55.56,Rep,23.92
CA-51,-21.972,63.600,-60.40,Dem,29.00,-69.36,Dem,18.88,-54.93,Dem,37.15,-45.42,Dem,53.21,-19.87,Dem,95.78,-21.94,Dem,99.80
CA-52,-7.358,80.200,-45.45,Dem,34.40,-48.29,Dem,30.72,-50.23,Dem,28.11,-46.18,Dem,33.33,-7.42,Dem,99.80,-11.23,Dem,92.57
CA-53,-15.023,62.600,-56.51,Dem,27.40,-58.64,Dem,25.13,-50.76,Dem,35.18,-15.03,Dem,99.90,-15.28,Dem,99.30,-15.08,Dem,99.90
CO-01,-21.148,55.800,-36.32,Dem,69.00,-65.52,Dem,22.29,-51.53,Dem,41.57,-48.77,Dem,46.18,-16.71,Dem,90.96,-21.15,Dem,100.00
CO-02,-10.138,40.000,-53.54,Dem,26.60,-21.54,Dem,78.39,-44.93,Dem,38.19,-20.06,Dem,81.21,-10.06,Dem,99.90,-14.64,Dem,91.46
CO-03,4.635,33.000,42.38,Rep,36.20,-44.79,Dem,23.49,43.02,Rep,34.74,18.34,Rep,74.70,4.56,Rep,99.80,33.27,Rep,49.20
CO-04,10.799,9.200,50.29,Rep,32.00,36.00,Rep,53.41,60.91,Rep,19.28,-7.10,Dem,67.87,10.76,Rep,99.80,33.54,Rep,57.63
CO-05,11.401,14.400,56.78,Rep,24.60,51.26,Rep,30.72,48.69,Rep,34.34,11.35,Rep,100.00,11.30,Rep,99.80,11.38,Rep,100.00
CO-06,-3.533,57.600,-30.47,Dem,51.80,-33.40,Dem,47.59,-44.95,Dem,31.12,-29.91,Dem,53.01,-14.44,Dem,80.12,-3.93,Rep,99.40
CO-07,-6.925,60.600,16.67,Rep,59.20,-39.74,Dem,42.01,-41.96,Dem,38.59,-20.48,Dem,74.57,-6.75,Dem,99.90,-25.35,Dem,65.93
CT-01,-12.604,49.600,-29.25,Dem,68.20,-55.86,Dem,26.51,-58.26,Dem,23.49,5.58,Rep,66.87,-21.25,Dem,83.73,-40.19,Dem,49.00
CT-02,-4.053,46.600,37.11,Rep,33.60,-35.87,Dem,44.22,-39.30,Dem,39.40,29.70,Rep,42.81,-4.48,Dem,99.30,-16.00,Dem,78.19
CT-03,-10.493,43.600,-44.69,Dem,39.00,-43.81,Dem,40.56,-36.65,Dem,51.81,-12.15,Dem,96.99,-3.16,Dem,86.35,-10.40,Dem,99.80
CT-04,-8.527,70.400,-49.83,Dem,29.80,-23.84,Dem,71.56,-45.57,Dem,35.78,-27.47,Dem,64.92,-14.26,Dem,89.25,-26.99,Dem,65.93
CT-05,-3.074,44.600,36.69,Rep,35.40,30.57,Rep,43.02,-27.25,Dem,56.88,9.33,Rep,77.39,-4.92,Dem,96.68,-19.23,Dem,70.55
DE-01,-7.603,53.800,-62.07,Dem,16.20,-35.32,Dem,49.85,-48.95,Dem,29.95,-7.62,Dem,99.70,-7.49,Dem,99.90,-34.38,Dem,51.46
FL-01,19.596,25.600,42.37,Rep,55.60,73.56,Rep,13.45,42.12,Rep,55.42,29.75,Rep,79.52,19.56,Rep,100.00,37.25,Rep,64.66
FL-02,17.782,35.400,55.47,Rep,32.20,34.59,Rep,66.47,41.76,Rep,53.41,17.79,Rep,99.60,17.76,Rep,100.00,38.89,Rep,58.43
FL-03,8.090,11.200,-29.15,Dem,38.20,54.35,Rep,24.32,35.92,Rep,49.85,43.58,Rep,37.99,8.23,Rep,99.70,-14.80,Dem,59.70
FL-04,14.108,52.000,43.02,Rep,46.60,41.80,Rep,48.19,49.72,Rep,35.74,32.88,Rep,63.86,9.05,Rep,90.56,14.08,Rep,100.00
FL-05,-12.671,75.600,-44.87,Dem,41.20,-36.32,Dem,55.88,-33.54,Dem,60.50,11.92,Rep,56.68,-12.71,Dem,99.90,-36.44,Dem,55.48
FL-06,8.743,44.000,55.96,Rep,23.40,-30.34,Dem,36.14,43.46,Rep,38.76,8.81,Rep,99.40,8.81,Rep,99.40,31.81,Rep,57.43
FL-07,-3.816,78.000,-63.78,Dem,12.40,55.21,Rep,14.87,33.34,Rep,38.19,14.82,Rep,66.73,-4.05,Dem,99.50,18.69,Rep,60.30
FL-08,10.534,30.000,47.61,Rep,35.60,56.32,Rep,23.69,49.97,Rep,31.73,-11.59,Dem,60.84,10.48,Rep,100.00,43.41,Rep,40.96
FL-09,-6.442,44.200,-27.67,Dem,61.20,36.59,Rep,30.72,-32.46,Dem,53.01,-6.37,Dem,99.80,-6.46,Dem,100.00,15.57,Rep,60.84
FL-10,-13.485,60.600,-26.68,Dem,74.20,-49.31,Dem,35.58,-35.16,Dem,58.69,-24.83,Dem,78.19,-13.51,Dem,99.90,-41.85,Dem,47.24
FL-11,16.002,37.200,56.27,Rep,29.80,60.90,Rep,23.32,40.57,Rep,53.27,25.39,Rep,81.61,30.84,Rep,71.16,19.39,Rep,93.47
FL-12,9.455,44.800,64.64,Rep,15.80,65.28,Rep,14.66,-21.53,Dem,47.39,9.41,Rep,100.00,9.40,Rep,100.00,18.40,Rep,82.93
FL-13,-1.568,63.200,-46.03,Dem,27.80,39.45,Rep,32.56,30.95,Rep,44.42,-1.45,Dem,99.70,-1.46,Dem,99.70,-22.15,Dem,63.12
FL-14,-9.146,38.800,-47.29,Dem,33.80,-39.20,Dem,45.83,35.35,Rep,29.35,-54.85,Dem,24.52,-20.86,Dem,78.19,-34.85,Dem,52.86
FL-15,5.098,32.800,29.24,Rep,57.20,47.49,Rep,29.52,-40.28,Dem,28.11,13.01,Rep,85.34,5.17,Rep,99.80,19.44,Rep,73.69
FL-16,5.490,46.600,-22.14,Dem,52.00,49.58,Rep,27.11,48.68,Rep,28.31,5.42,Rep,100.00,8.37,Rep,94.58,-12.84,Dem,67.47
FL-17,13.649,17.600,34.62,Rep,60.60,51.81,Rep,32.33,60.07,Rep,22.09,13.62,Rep,99.80,25.53,Rep,77.11,13.73,Rep,99.60
FL-18,4.779,38.000,-28.34,Dem,44.00,57.48,Rep,18.27,52.79,Rep,23.09,4.68,Rep,100.00,4.63,Rep,100.00,4.73,Rep,100.00
FL-19,11.110,31.800,31.11,Rep,63.20,41.52,Rep,44.78,43.93,Rep,41.16,12.09,Rep,98.19,19.37,Rep,84.34,11.10,Rep,100.00
FL-20,-29.540,44.400,-63.39,Dem,33.20,-50.02,Dem,56.68,-60.64,Dem,37.39,-31.27,Dem,96.28,-45.95,Dem,64.72,-18.96,Dem,77.99
FL-21,-9.703,45.400,-69.41,Dem,11.60,-53.20,Dem,27.14,-57.73,Dem,21.71,-9.80,Dem,99.90,-9.64,Dem,99.50,-24.64,Dem,72.16
FL-22,-7.946,43.000,-41.27,Dem,40.80,-60.12,Dem,18.09,26.39,Rep,42.21,-16.41,Dem,84.02,-7.87,Dem,99.90,-7.88,Dem,99.90
FL-23,-13.070,46.200,-43.43,Dem,44.00,-47.74,Dem,37.59,-41.24,Dem,47.84,-25.33,Dem,76.58,-13.25,Dem,99.70,-26.13,Dem,74.97
FL-24,-31.657,65.000,-51.01,Dem,58.00,-62.08,Dem,37.99,-38.84,Dem,84.42,-31.69,Dem,99.90,-31.59,Dem,99.70,-31.63,Dem,99.90
FL-25,0.916,53.400,-31.14,Dem,44.80,-29.28,Dem,47.64,38.10,Rep,37.39,-9.98,Dem,80.40,0.85,Rep,99.70,0.88,Rep,99.70
FL-26,-8.073,51.800,-32.71,Dem,55.00,-44.40,Dem,36.75,-62.84,Dem,15.86,-7.91,Dem,99.40,-8.22,Dem,100.00,-8.09,Dem,100.00
FL-27,-9.876,50.400,-25.50,Dem,70.40,-64.69,Dem,15.26,-40.65,Dem,44.58,-34.08,Dem,55.62,-9.88,Dem,99.80,-9.69,Dem,99.80
GA-01,7.137,20.200,41.47,Rep,40.60,62.71,Rep,15.26,51.27,Rep,26.71,44.10,Rep,36.14,7.04,Rep,99.60,-7.94,Dem,72.89
GA-02,-7.325,61.600,-39.20,Dem,43.40,-28.86,Dem,60.50,-54.15,Dem,23.72,-7.11,Dem,99.50,-7.35,Dem,99.90,32.71,Rep,34.77
GA-03,16.002,22.400,62.97,Rep,21.80,47.97,Rep,40.76,39.04,Rep,55.82,22.31,Rep,87.55,15.87,Rep,99.80,45.83,Rep,44.18
GA-04,-24.407,54.400,-66.66,Dem,23.80,-36.58,Dem,74.77,-40.11,Dem,67.74,-21.11,Dem,93.07,-31.06,Dem,86.23,-31.86,Dem,84.62
GA-05,-32.947,44.800,-32.67,Dem,99.80,-76.88,Dem,19.30,-42.59,Dem,78.39,-32.94,Dem,99.90,-42.26,Dem,79.20,-33.08,Dem,99.70
GA-06,6.362,45.000,35.64,Rep,48.60,37.74,Rep,44.42,31.07,Rep,55.08,6.39,Rep,99.70,6.57,Rep,99.70,26.34,Rep,63.32
GA-07,7.107,18.400,32.53,Rep,54.40,56.61,Rep,20.88,-20.05,Dem,52.81,33.31,Rep,52.61,7.03,Rep,99.80,-9.23,Dem,70.68
GA-08,13.224,26.200,49.94,Rep,35.20,50.63,Rep,33.73,57.64,Rep,24.70,13.27,Rep,99.60,13.18,Rep,99.80,13.08,Rep,99.80
GA-09,27.739,35.800,61.38,Rep,35.00,61.62,Rep,33.97,74.76,Rep,17.69,27.67,Rep,99.50,27.81,Rep,99.90,27.78,Rep,99.90
GA-10,12.869,8.200,48.60,Rep,36.80,47.72,Rep,37.35,46.96,Rep,38.55,51.96,Rep,31.53,12.90,Rep,99.80,12.71,Rep,99.80
GA-11,15.028,15.800,23.09,Rep,85.00,51.34,Rep,34.57,41.76,Rep,49.65,21.86,Rep,86.83,14.90,Rep,99.70,15.01,Rep,99.70
GA-12,7.067,12.400,52.30,Rep,26.20,53.36,Rep,24.50,41.95,Rep,38.96,-7.62,Dem,73.69,21.67,Rep,72.89,20.31,Rep,75.30
GA-13,-20.406,80.200,-40.49,Dem,60.00,-59.22,Dem,29.52,-53.78,Dem,37.35,-27.94,Dem,84.94,-23.57,Dem,93.78,-20.38,Dem,99.80
GA-14,24.505,18.600,52.04,Rep,46.00,59.64,Rep,32.96,46.03,Rep,56.08,20.81,Rep,92.46,24.45,Rep,99.90,22.72,Rep,96.48
HI-01,-18.146,96.000,-69.67,Dem,16.00,-43.21,Dem,51.61,-49.29,Dem,41.57,-17.98,Dem,99.60,-18.08,Dem,99.60,-48.83,Dem,42.37
HI-02,-18.962,82.200,-58.22,Dem,29.00,-80.18,Dem,8.84,-44.70,Dem,50.00,-19.06,Dem,100.00,-19.08,Dem,100.00,-31.02,Dem,76.10
ID-01,17.895,24.600,58.13,Rep,29.00,53.22,Rep,34.97,56.77,Rep,29.95,17.96,Rep,99.90,24.24,Rep,87.44,4.43,Dem,74.57
ID-02,14.259,71.000,-15.95,Dem,47.40,29.66,Rep,70.15,49.82,Rep,35.78,47.70,Rep,38.99,3.47,Rep,79.60,46.92,Rep,40.20
IL-01,-26.870,56.200,-43.80,Dem,64.20,-49.14,Dem,53.87,-44.27,Dem,63.52,-26.92,Dem,99.70,-26.85,Dem,99.90,-36.15,Dem,80.40
IL-02,-28.848,63.200,-43.79,Dem,67.60,-78.05,Dem,15.28,-45.71,Dem,63.92,-28.82,Dem,99.90,-33.63,Dem,89.45,-45.39,Dem,64.72
IL-03,-7.368,70.800,-42.51,Dem,38.40,-20.09,Dem,76.38,-33.30,Dem,52.86,-42.71,Dem,38.19,-7.36,Dem,99.90,-17.45,Dem,81.21
IL-04,-31.380,51.600,-49.65,Dem,60.20,-72.71,Dem,22.49,-52.23,Dem,55.22,-15.13,Dem,66.27,-31.48,Dem,99.80,-31.44,Dem,99.80
IL-05,-19.839,75.000,-55.96,Dem,33.20,-50.80,Dem,41.01,-58.31,Dem,29.95,-37.10,Dem,65.53,-19.72,Dem,99.70,-19.94,Dem,99.90
IL-06,0.346,32.400,47.65,Rep,25.40,-37.90,Dem,36.14,42.36,Rep,31.12,18.58,Rep,67.07,0.20,Rep,99.60,-14.75,Dem,72.69
IL-07,-35.525,70.200,-60.86,Dem,45.40,-50.45,Dem,66.47,-48.84,Dem,69.88,-35.82,Dem,99.40,-22.61,Dem,71.29,-30.82,Dem,89.16
IL-08,-9.603,59.600,-51.86,Dem,28.20,-44.20,Dem,38.96,-46.40,Dem,35.74,-38.84,Dem,46.99,-9.54,Dem,99.80,-22.80,Dem,75.30
IL-09,-18.827,25.800,-40.85,Dem,56.80,-43.59,Dem,52.01,-46.73,Dem,46.39,-46.23,Dem,47.39,-18.79,Dem,99.60,-18.83,Dem,100.00
IL-10,-11.442,88.600,-39.03,Dem,48.80,-39.46,Dem,48.64,-34.25,Dem,57.49,-11.43,Dem,99.90,-18.76,Dem,86.23,-29.74,Dem,65.53
IL-11,-10.107,76.000,-29.69,Dem,63.20,-35.30,Dem,53.61,-48.40,Dem,33.53,-31.12,Dem,60.84,-10.00,Dem,99.60,-34.74,Dem,54.62
IL-12,3.349,58.400,-30.52,Dem,42.40,36.18,Rep,43.02,-37.43,Dem,33.37,18.02,Rep,73.37,3.44,Rep,99.90,22.00,Rep,66.13
IL-13,1.448,53.400,-41.08,Dem,30.80,-21.48,Dem,59.24,43.31,Rep,30.72,31.00,Rep,48.39,-13.17,Dem,73.69,4.05,Rep,94.98
IL-14,3.533,13.600,-27.14,Dem,47.00,-32.68,Dem,39.40,30.62,Rep,51.66,3.54,Rep,99.90,3.51,Rep,99.90,29.58,Rep,53.47
IL-15,18.845,63.800,57.34,Rep,31.00,65.42,Rep,20.50,41.07,Rep,56.68,47.42,Rep,45.23,13.56,Rep,89.65,25.07,Rep,87.64
IL-16,6.204,61.600,49.03,Rep,29.20,25.87,Rep,63.65,39.04,Rep,42.37,36.78,Rep,45.78,6.04,Rep,99.80,30.58,Rep,55.82
IL-17,-4.070,63.800,-22.92,Dem,65.40,-52.58,Dem,22.71,-37.55,Dem,41.81,-24.55,Dem,62.91,-4.06,Dem,99.90,-4.08,Dem,99.90
IL-18,12.965,40.000,65.52,Rep,17.00,-36.00,Dem,24.90,30.44,Rep,66.47,45.07,Rep,41.16,11.50,Rep,97.39,46.59,Rep,39.16
IN-01,-9.180,44.000,-55.01,Dem,24.20,36.07,Rep,28.74,-48.62,Dem,32.16,-6.27,Dem,94.67,-9.31,Dem,99.70,-19.05,Dem,81.41
